id,xSite,ySite,zSite,radius,N_mes_600_655,N_mes_655_665,N_sim_600_655,N_sim_655_665
204,110.0,1630.0,1400.0,10.0,11.74067,2.3849,13670,13898
205,210.0,1630.0,1400.0,10.0,13.44618,2.69165,15867,15923
206,310.0,1630.0,1400.0,10.0,15.13305,3.09095,18040,18559
207,410.0,1630.0,1400.0,10.0,17.70334,3.55146,21351,21599
208,510.0,1630.0,1400.0,10.0,20.66411,4.11905,25165,25346
209,610.0,1630.0,1400.0,10.0,23.03101,4.56546,28214,28293
210,710.0,1630.0,1400.0,10.0,24.5176,4.86585,30129,30276
211,810.0,1630.0,1400.0,10.0,24.66122,4.8854,30314,30405
212,910.0,1630.0,1400.0,10.0,24.2296,4.81996,29758,29973
213,1010.0,1630.0,1400.0,10.0,23.05741,4.5332,28248,28080
214,1110.0,1630.0,1400.0,10.0,22.1344,4.39354,27059,27158
215,1210.0,1630.0,1400.0,10.0,22.18874,4.34855,27129,26861
216,110.0,1730.0,1400.0,10.0,11.42783,2.30628,13267,13379
217,210.0,1730.0,1400.0,10.0,12.89968,2.56835,15163,15109
218,310.0,1730.0,1400.0,10.0,14.83729,2.99007,17659,17893
219,410.0,1730.0,1400.0,10.0,17.29813,3.40649,20829,20642
220,510.0,1730.0,1400.0,10.0,19.98719,3.97257,24293,24379
221,610.0,1730.0,1400.0,10.0,22.23532,4.41747,27189,27316
222,710.0,1730.0,1400.0,10.0,23.5356,4.73331,28864,29401
223,810.0,1730.0,1400.0,10.0,24.06192,4.78663,29542,29753
224,910.0,1730.0,1400.0,10.0,23.0838,4.63242,28282,28735
225,1010.0,1730.0,1400.0,10.0,22.17632,4.43913,27113,27459
226,1110.0,1730.0,1400.0,10.0,21.24555,4.22842,25914,26068
227,1210.0,1730.0,1400.0,10.0,20.89777,4.18464,25466,25779
228,110.0,1830.0,1400.0,10.0,10.66396,2.14208,12283,12295
229,210.0,1830.0,1400.0,10.0,11.92311,2.39914,13905,13992
230,310.0,1830.0,1400.0,10.0,13.54632,2.75679,15996,16353
231,410.0,1830.0,1400.0,10.0,15.7603,3.14851,18848,18939
232,510.0,1830.0,1400.0,10.0,17.89043,3.61538,21592,22021
233,610.0,1830.0,1400.0,10.0,19.92508,3.99514,24213,24528
234,710.0,1830.0,1400.0,10.0,21.23468,4.25448,25900,26240
235,810.0,1830.0,1400.0,10.0,21.13299,4.23054,25769,26082
236,910.0,1830.0,1400.0,10.0,21.04682,4.22342,25658,26035
237,1010.0,1830.0,1400.0,10.0,20.18436,4.00544,24547,24596
238,1110.0,1830.0,1400.0,10.0,19.16277,3.84336,23231,23526
239,1210.0,1830.0,1400.0,10.0,19.03002,3.81548,23060,23342
