id,xSite,ySite,zSite,radius,N_sim_calibration_600_655,N_sim_calibration_655_665,N_sim_600_655,N_sim_655_665
205,210.0,1630.0,1400.0,10.0,13.24427,2.70382,1553,1612
206,310.0,1630.0,1400.0,10.0,15.26356,3.06558,1834,1849
207,410.0,1630.0,1400.0,10.0,17.54874,3.59519,2152,2196
208,510.0,1630.0,1400.0,10.0,19.59677,4.21794,2437,2604
209,610.0,1630.0,1400.0,10.0,22.98862,4.6529,2909,2889
210,710.0,1630.0,1400.0,10.0,23.69285,4.83911,3007,3011
211,810.0,1630.0,1400.0,10.0,23.54914,5.05893,2987,3155
212,910.0,1630.0,1400.0,10.0,23.49883,4.85134,2980,3019
213,1010.0,1630.0,1400.0,10.0,22.67242,4.5644,2865,2831
214,1110.0,1630.0,1400.0,10.0,22.57181,4.44685,2851,2754
215,1210.0,1630.0,1400.0,10.0,21.37894,4.29577,2685,2655
216,110.0,1730.0,1400.0,10.0,11.53398,2.20169,1315,1283
217,210.0,1730.0,1400.0,10.0,12.99995,2.48557,1519,1469
218,310.0,1730.0,1400.0,10.0,15.06234,2.86105,1806,1715
219,410.0,1730.0,1400.0,10.0,16.68639,3.38914,2032,2061
220,510.0,1730.0,1400.0,10.0,18.93564,3.87755,2345,2381
221,610.0,1730.0,1400.0,10.0,21.63763,4.45755,2721,2761
222,710.0,1730.0,1400.0,10.0,23.05329,4.77351,2918,2968
223,810.0,1730.0,1400.0,10.0,22.8305,4.88185,2887,3039
224,910.0,1730.0,1400.0,10.0,22.48557,4.65749,2839,2892
225,1010.0,1730.0,1400.0,10.0,21.65199,4.47739,2723,2774
226,1110.0,1730.0,1400.0,10.0,20.73938,4.2973,2596,2656
227,1210.0,1730.0,1400.0,10.0,20.37287,4.1294,2545,2546
228,110.0,1830.0,1400.0,10.0,11.46211,2.16048,1305,1256
229,210.0,1830.0,1400.0,10.0,11.58429,2.32685,1322,1365
230,310.0,1830.0,1400.0,10.0,13.80479,2.76334,1631,1651
231,410.0,1830.0,1400.0,10.0,15.55819,3.17697,1875,1922
232,510.0,1830.0,1400.0,10.0,17.89368,3.5143,2200,2143
233,610.0,1830.0,1400.0,10.0,19.10812,4.06223,2369,2502
234,710.0,1830.0,1400.0,10.0,21.19208,4.30643,2659,2662
235,810.0,1830.0,1400.0,10.0,21.22082,4.21641,2663,2603
236,910.0,1830.0,1400.0,10.0,20.39444,4.42701,2548,2741
237,1010.0,1830.0,1400.0,10.0,19.92017,4.10497,2482,2530
238,1110.0,1830.0,1400.0,10.0,18.74882,3.80277,2319,2332
239,1210.0,1830.0,1400.0,10.0,18.41105,3.86077,2272,2370
